426c54a,wutt0019,16 minutes ago,Merge pull request #26 from wutt0019/docs/puja0009/user-research-p1/final-report-changes
18ee609,kazaarplaya,20 minutes ago,docs(final): Added references for user personas to final report
1c5fd11,puja0009,34 minutes ago,Merge pull request #25 from wutt0019/docs/wutt0019/user-research-p1/final-report
fa7218a,wutt0019,37 minutes ago,docs(final report): Added and compiled all parts into a final .md file.
dfc2d7b,lear0022,52 minutes ago,Merge pull request #24 from wutt0019/docs/puja0009/user-research-p1/competitor-analysis
f937120,kazaarplaya,71 minutes ago,docs(competitor-analysis): Updated competitor-analysis.md
b3ab48d,lear0022,4 hours ago,Merge pull request #23 from wutt0019/docs/lewi0454/user-research-p1/complex-story-board-selecting-service
3b4a39f,lewi0454,11 hours ago,docs(story-board-selecting-service-lewi0454): Added complex story board
f45e2a2,puja0009,13 hours ago,Merge pull request #22 from wutt0019/docs/lewi0454/user-research-p1/added-complex-story-board-resolving-dispute
e86c328,lewi0454,13 hours ago,docs(story-board-resolving-dispute-lewi0454): Added complex story
92ea729,wutt0019,13 hours ago,Merge pull request #21 from wutt0019/docs/lear0022/user-research-p1/user-flow-dispute
faab57b,lear0022,13 hours ago,docs(user-flow): Updated user-flow-diagram
3e8cb8d,wutt0019,13 hours ago,Merge pull request #20 from wutt0019/docs/wutt0019/housekeeping/cleanup-repo
68b3c0e,wutt0019,13 hours ago,docs(housekeeping): A variety of 'housekeeping' changes to the repo.
bfe162f,lewi0454,13 hours ago,Merge pull request #19 from wutt0019/docs/lewi0454/user-research-p1/persona-tutor
1c9b052,puja0009,13 hours ago,Merge pull request #18 from wutt0019/docs/puja0009/user-research-p1/persona-student
b019e04,kazaarplaya,13 hours ago,docs(user-persona): Updated user persona
408c16c,wutt0019,14 hours ago,Merge pull request #17 from wutt0019/docs/puja0009/user-research-p1/user-flow-diagram
f59e752,lear0022,14 hours ago,Merge pull request #16 from wutt0019/docs/puja0009/user-research-p1/storyboards
1e37b49,lewi0454,14 hours ago,Merge pull request #15 from wutt0019/docs/puja0009/user-research-p1/wireframes
f19ffd7,puja0009,14 hours ago,Merge pull request #14 from wutt0019/docs/puja0009/user-research-p1/competitor-analysis
ae8e9be,lear0022,14 hours ago,Merge pull request #13 from wutt0019/docs/wutt0019/user-research-p1/wireframes
c659c41,puja0009,14 hours ago,Merge pull request #12 from wutt0019/docs/wutt0019/user-research-p1/storyboard-messaging
30eed94,lewi0454,14 hours ago,Merge pull request #11 from wutt0019/docs/wutt0019/user-research-p1/storyboard-posting-service
8676c23,wutt0019,14 hours ago,Merge pull request #10 from wutt0019/docs/wutt0019/user-research-p1/sitemap
4b32a26,lear0022,14 hours ago,Merge pull request #9 from wutt0019/docs/wutt0019/user-research-p1/project-proposal
2c3df6d,lewi0454,14 hours ago,Merge pull request #8 from wutt0019/docs/lear0022/user-research-p1/user-flow-dispute
f61702e,puja0009,14 hours ago,Merge pull request #7 from wutt0019/docs/lear0022/user-research-p1/persona-admin
43c72a8,wutt0019,14 hours ago,Merge pull request #6 from wutt0019/docs/lear0022/user-research-p1/wireframe-paper
2f74378,kazaarplaya,14 hours ago,docs(storyboards): Added story-board-puja0009.png
9d2e081,kazaarplaya,14 hours ago,docs(user-flow-diagram): Added user-flow-diagram-puja0009.png
ccf98a3,kazaarplaya,14 hours ago,docs(wireframes): Added 5 wireframes
6c1f327,lewi0454,15 hours ago,docs(Persona-lewi0454): Added persona for tutor
98b8c03,wutt0019,15 hours ago,docs(wireframes): Updated admin-home-page-wireframe-wutt0019.png, messaging-wireframe-wutt0019.png and post-a-service-wireframe-wutt0019.png.
819fa0e,wutt0019,15 hours ago,docs(wireframes): Updated admin-home-page-wireframe-wutt0019.png, messaging-wireframe-wutt0019.png and post-a-service-wireframe-wutt0019.png.
d5022f5,wutt0019,15 hours ago,docs(wireframes): Updated storyboard-user-messaging-wutt0019.png.
c10bc5b,wutt0019,15 hours ago,docs(wireframes): Updated messaging-wireframe-wutt0019.png.
85fd1d3,lear0022,16 hours ago,docs(paper-wireframes): Added the paper-wireframes-lear0022.png.
736447a,lear0022,16 hours ago,docs(user-persona): Added the user-persona-lear0022.png.
883c04e,lear0022,16 hours ago,docs(dispute-user-flow): Added the dispute-user-flow-lear0022.png.
0a2e43d,wutt0019,20 hours ago,docs(wireframes): Added admin-home-page-wireframe-wutt0019.png, messaging-wireframe-wutt0019.png and post-a-service-wireframe-wutt0019 files.
ca9671c,wutt0019,24 hours ago,docs(simple storyboard): Added the storyboard-user-messaging-wutt0019.png file.
8d141a9,wutt0019,24 hours ago,docs(simple storyboard): Added the storyboard-posting-a-service-wutt0019.png file.
0a72921,kazaarplaya,2 days ago,docs(competitor-analysis): Created competitor-analysis.md
164e42f,wutt0019,2 days ago,docs(sitemap): Updated the sitemap-wutt0019.png.
05959af,wutt0019,2 days ago,docs(project-proposal): Updated the project-proposal-wutt019.md.
5be3701,wutt0019,2 days ago,docs(research-methods): Updated the research-methods-wutt0019.md.
569c516,lewi0454,3 days ago,docs(UserPostFlow-lewi0454): Added user flow diagram
3200752,Kazaar,3 days ago,Update of documents (User Persona)
62ba931,wutt0019,4 days ago,Update of Documents (User Research Methods)
f26f77d,wutt0019,4 days ago,Update of Documents (Project Proposal)
e3e9f7a,wutt0019,4 days ago,Update of Documents (Project Proposal)
30c645e,wutt0019,5 days ago,Update of Documents (User flow diagram)
a1abbf2,wutt0019,5 days ago,Update of Documents (Sitemap)
d8689f6,wutt0019,6 days ago,Update of Documents (Sitemap)
e128e60,wutt0019,7 days ago,Merge branch 'main' into docs/wutt019/user-research-p1/sitemap
c3d164f,wutt0019,7 days ago,Merge branch 'main' into docs/wutt019/user-research-p1/project-proposal
0af000f,wutt0019,7 days ago,Update of Project Directory (Added PR Roster)
118c249,wutt0019,7 days ago,Update of documents (Sitemap)
fc2a1a4,wutt0019,7 days ago,Update of documents (Project Proposal)
1bce329,wutt0019,9 days ago,Updated Project Directory to include suitable subdirectories for deliverables.
c429475,lewi0454,10 days ago,Merge pull request #4 from wutt0019/docs/wutt0019/changes-persona-draft
7b51e5f,lewi0454,10 days ago,Merge branch 'main' into docs/wutt0019/changes-persona-draft
